"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	139	2314370	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	169	2165719	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	131	2324069	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	169	2179422	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	144	2337857	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	173	2192872	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	140	2354514	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	159	2211403	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	164	2385480	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	144	2243501	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	146	2407275	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	188	2265565	8.3
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	171	2430257	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	201	2287949	8.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	161	2448159	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	200	2309779	8.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	152	2462501	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	180	2323013	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	134	2471124	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	196	2328518	8.4
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	24	332704	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	17	335380	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	26	341479	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	"Female"	"F"	19	320920	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2005"	"2005"	"Male"	"M"	19	346026	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	25	327138	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	16	353162	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	21	329412	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	24	358043	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	18	337002	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	38	361893	10.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	25	342348	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	46	371634	12.4
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	16	346420	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	26	375929	6.9
