"","States.Code","States","Year","total_cancer_count","avg_pm25_pop_pred","avg_o3_pop_pred"
"1",1,"Alabama",2002,3627,11.8925534417554,40.7652826771434
"2",1,"Alabama",2003,3564,12.2718510186887,39.7322700633412
"3",1,"Alabama",2004,3804,12.341711453516,39.5885065518143
"4",1,"Alabama",2005,3766,13.0698763575235,41.4540038716745
"5",1,"Alabama",2006,3829,12.9576381841873,44.0034151708093
"6",1,"Alabama",2007,3867,13.496187961314,43.9783513315466
"7",1,"Alabama",2008,4130,11.5132791428273,40.5768698318637
"8",1,"Alabama",2009,4051,9.74779106663955,36.7572554652526
"9",1,"Alabama",2010,4037,10.6008218179978,41.1692010339592
"10",1,"Alabama",2011,4018,10.3435302089124,40.9236627261625
"11",4,"Arizona",2002,3252,7.71698920861882,48.1672895464512
"12",4,"Arizona",2003,3440,8.12143602746534,47.6223560774047
"13",4,"Arizona",2004,3455,7.00171767112667,45.7532593957025
"14",4,"Arizona",2005,3585,7.1055127008172,46.2811426721748
"15",4,"Arizona",2006,3533,6.87713947955663,47.0619958880158
"16",4,"Arizona",2007,3641,5.70183000774593,47.0835342872347
"17",4,"Arizona",2008,3646,6.54009284262262,47.6131983145705
"18",4,"Arizona",2009,3891,6.80684895092941,45.7703332852029
"19",4,"Arizona",2010,3695,6.03495076461275,46.3093187391875
"20",4,"Arizona",2011,3865,6.52443352517664,47.5462460254722
"21",5,"Arkansas",2002,2454,11.2198124335677,41.0962188148428
"22",5,"Arkansas",2003,2472,11.4548889431939,41.5241174392401
"23",5,"Arkansas",2004,2525,10.9948097338302,39.3286133189128
"24",5,"Arkansas",2005,2610,12.6505470503187,43.7390006803248
"25",5,"Arkansas",2006,2498,11.3872238636461,44.2664673702854
"26",5,"Arkansas",2007,2705,11.8111833144496,42.0229253397926
"27",5,"Arkansas",2008,2688,10.8784733738168,40.0669895031505
"28",5,"Arkansas",2009,2574,9.72694505468386,38.4739729210757
"29",5,"Arkansas",2010,2631,10.7239475719552,42.0017285069818
"30",5,"Arkansas",2011,2697,10.2689181919321,40.5669978293828
"31",6,"California",2002,17473,12.5655094028893,42.646065900872
"32",6,"California",2003,17397,11.3319706388066,41.7566640517944
"33",6,"California",2004,17438,10.6602357365047,40.8746013607436
"34",6,"California",2005,17563,10.2675371616289,39.7406482361289
"35",6,"California",2006,17606,10.5924293796639,41.8214518488355
"36",6,"California",2007,17458,9.26414911999616,41.0524484120326
"37",6,"California",2008,17335,11.1170989129099,42.4268088520831
"38",6,"California",2009,18063,9.31170070684268,39.6878297054978
"39",6,"California",2010,17333,7.77698890108985,39.2061391230836
"40",6,"California",2011,16737,8.46081444477107,39.8698360249762
"41",8,"Colorado",2002,2066,6.26327485980088,43.6736992021413
"42",8,"Colorado",2003,2041,6.22917494020424,44.2477018047353
"43",8,"Colorado",2004,2001,6.17559551399836,42.976505768667
"44",8,"Colorado",2005,1995,5.94889930487703,44.4074502905834
"45",8,"Colorado",2006,2032,6.00160008637119,45.2908934603454
"46",8,"Colorado",2007,2203,5.67348057810219,46.2917977072808
"47",8,"Colorado",2008,2284,5.73186597527677,46.8044996016083
"48",8,"Colorado",2009,2251,6.15472322844261,44.218976816599
"49",8,"Colorado",2010,2200,5.71261073155109,46.2883500916194
"50",8,"Colorado",2011,2221,5.56138882569883,47.5487816510204
"51",9,"Connecticut",2002,2627,12.0821760526387,41.4114812234945
"52",9,"Connecticut",2003,2666,11.7258209670695,39.1931335194674
"53",9,"Connecticut",2004,2580,11.2774025595424,37.4496886404012
"54",9,"Connecticut",2005,2621,11.6043037334798,40.5892514490975
"55",9,"Connecticut",2006,2715,10.4419042269572,39.5212602050021
"56",9,"Connecticut",2007,2693,10.5407645084461,40.4185902923831
"57",9,"Connecticut",2008,2713,9.99014278419891,39.1727883712132
"58",9,"Connecticut",2009,2669,8.58428128304353,36.4464598262123
"59",9,"Connecticut",2010,2659,8.02838158006836,39.582199955563
"60",9,"Connecticut",2011,2651,8.95757450152014,38.1693292484729
"61",10,"Delaware",2002,622,13.216133494004,42.9213798672385
"62",10,"Delaware",2003,738,13.5234513624905,40.7649010657351
"63",10,"Delaware",2004,732,13.0402508841748,39.9410274891792
"64",10,"Delaware",2005,783,13.3076999498461,41.3060647768525
"65",10,"Delaware",2006,814,12.968408307181,41.8890220264866
"66",10,"Delaware",2007,746,12.794287052288,42.4918052473766
"67",10,"Delaware",2008,773,12.2628329600128,41.7510873674586
